date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-17,10770.336,10783.668,10651.497,10624.816,191944736,-108.184,-1,10753.913,10653.521,10603.909,187128102.4,166388407.2,167217962.8
2016-10-18,10637.688,10797.022,10797.022,10637.688,191065152,145.525,1.37,10756.856,10685.526,10605.621,186491558.4,170656637.6,166994214.8
2016-10-19,10811.272,10824.406,10757.918,10733.691,201237040,-39.104,-0.36,10750.721,10714.602,10620.438,190277625.6,177896508.8,166103904.4
2016-10-20,10763.462,10802.663,10784.328,10752.915,195500608,26.41,0.24,10750.089,10741.81,10633.925,191740592,183686390.4,167715013.2
2016-10-21,10783.56,10802.536,10748.897,10678.115,200917344,-35.431,-0.33,10747.932,10759.942,10648.658,196132976,190964204.8,170126734.8
2016-10-24,10755.486,10871.163,10842.642,10740.178,210372720,93.745,0.87,10786.161,10770.037,10662.927,199818572.8,193473337.6,173526616.4
2016-10-25,10846.762,10871.657,10871.505,10841.198,206162608,28.863,0.27,10801.058,10778.957,10679.276,202838064,194664811.2,176516017.2
2016-10-26,10871.238,10871.238,10817.51,10793.626,218186112,-53.995,-0.5,10812.976,10781.849,10690.982,206227878.4,198252752,180219105.2
2016-10-27,10805.804,10808.144,10788.97,10745.277,178155808,-28.54,-0.26,10813.905,10781.997,10697.32,202758918.4,197249755.2,180554039.6
2016-10-28,10783.276,10836.773,10711.036,10710.928,192463072,-77.934,-0.72,10806.333,10777.133,10702.387,201068064,198600520,181893113.2
2016-11-02,10771.35,10785.11,10692.65,10686.94,79899016,-103.49,-0.96,10776.334,10781.248,10717.384,174973323.2,187395948,176892177.6
2016-11-03,10662.16,10804.26,10743.96,10655.14,88286656,51.31,0.48,10750.825,10775.942,10730.734,151398132.8,177118098.4,173887368
2016-11-04,10737.91,10784.84,10702.57,10684.47,74385608,-41.39,-0.39,10727.837,10770.407,10742.504,122638032,164432955.2,171164732
2016-11-07,10704.26,10729.99,10695.18,10663.56,86748064,-7.39,-0.07,10709.079,10761.492,10751.651,104356483.2,153557700.8,168622045.6
2016-11-08,10734.07,10785.88,10763.13,10722.35,80350768,67.95,0.64,10719.498,10762.915,10761.429,81934022.4,141501043.2,166232624
2016-11-09,10768.86,10785.09,10697.11,10575.16,104935392,-66.02,-0.61,10720.39,10748.362,10759.2,86941297.6,130957310.4,162215324
2016-11-10,10777.1,10848.98,10821.66,10777.1,100993896,124.55,1.16,10735.93,10743.378,10761.167,89482745.6,120440439.2,157552625.2
2016-11-11,10823.93,10878.14,10878.14,10792.83,126012496,56.48,0.52,10771.044,10749.441,10765.645,99808123.2,111223077.6,154737914.8
2016-11-14,10855.98,10952.61,10907.53,10847.82,132624408,29.39,0.27,10813.514,10761.297,10771.647,108983392,106669937.6,151959846.4
2016-11-15,10910.15,10958.1,10958.1,10877.4,106385712,50.57,0.46,10852.508,10786.003,10781.568,114190380.8,98062201.6,148331360.8
2016-11-16,10970.7,10998.92,10968.08,10956.87,109218192,9.98,0.09,10906.702,10813.546,10797.397,115046940.8,100994119.2,144195033.6
2016-11-17,10942.1,10961.8,10945.42,10887.51,85299432,-22.66,-0.21,10931.454,10833.692,10804.817,111908048,100695396.8,138906747.6
2016-11-18,10946.88,10963.66,10889.11,10876.91,78940112,-56.31,-0.51,10933.648,10852.346,10811.376,102493571.2,101150847.2,132791901.2
2016-11-21,10877.08,10955.44,10899.92,10861.81,82298544,10.81,0.1,10932.126,10872.82,10817.156,92428398.4,100705895.2,127131798
2016-11-22,10910.42,10985.6,10985.6,10910.42,95783784,85.68,0.79,10937.626,10895.067,10828.991,90308012.8,102249196.8,121875120
2016-11-23,11011,11041.52,10973.8,10952,108008928,-11.8,-0.11,10938.77,10922.736,10835.549,90066160,102556550.4,116756930.4
2016-11-24,10960.65,11030.12,10967.47,10947.27,102753136,-6.33,-0.06,10943.18,10937.317,10840.347,93556900.8,102732474.4,111586456.8
2016-11-25,10966.36,11036.53,11036.53,10830.4,102832032,69.06,0.63,10972.664,10953.156,10851.298,98335284.8,100414428,105818752.8
2016-11-28,11078.77,11108.87,11068.87,11045.68,111328216,32.34,0.29,11006.454,10969.29,10865.293,104141219.2,98284808.8,102477373.2
2016-11-29,11039.62,11124.81,11034.7,11026.3,113370336,-34.17,-0.31,11016.274,10976.95,10881.477,107658529.6,98983271.2,98522736.4
2016-11-30,11023.66,11072.06,11012.19,10983.18,97834056,-22.51,-0.2,11023.952,10981.361,10897.454,105623555.2,97844857.6,99419488.4
2016-12-01,11037.11,11090.93,11088.16,11036.61,95405536,75.97,0.69,11048.09,10995.635,10914.664,104154035.2,98855468,99775432.4
2016-12-02,11074.54,11078.29,10912.63,10905.39,101103552,-175.53,-1.58,11023.31,10997.987,10925.167,103808339.2,101071812,101111329.6
2016-12-05,10776.12,10894.08,10784.33,10762.85,91377688,-128.3,-1.18,10966.402,10986.428,10929.624,99818233.6,101979726.4,101342810.8
2016-12-06,10798.8,10833.81,10779.77,10774.36,69833816,-4.56,-0.04,10915.416,10965.845,10930.456,91110929.6,99384729.6,100816963.2
