date,open,high,low,close,volume,cma,y
 2015/12/03,3525.73,3591.73,3517.23,3584.82,281111264,3507.9185714286,-1
 2015/12/04,3558.15,3568.97,3510.41,3524.99,251736416,3511.7814285714,-1
 2015/12/07,3529.81,3543.95,3506.62,3536.93,208302576,3511.6657142857,-1
 2015/12/08,3518.65,3518.65,3466.79,3470.07,224367312,3497.0471428571,-1
 2015/12/09,3462.58,3495.7,3454.88,3472.44,195698848,3487.8828571429,1
 2015/12/10,3469.81,3503.65,3446.27,3455.5,200427520,3485.7914285714,1
 2015/12/11,3441.6,3455.55,3410.92,3434.58,182908880,3482.8285714286,1
 2015/12/14,3403.51,3521.78,3399.28,3520.67,215374624,3498.5328571429,1
 2015/12/15,3518.13,3529.96,3496.85,3510.35,200471344,3513.75,1
 2015/12/16,3522.09,3538.69,3506.29,3516.19,193482304,3540.46,1
 2015/12/17,3533.63,3583.41,3533.63,3580,283856480,3571.4871428571,1
 2015/12/18,3574.94,3614.7,3568.16,3578.96,273707904,3587.9757142857,1
 2015/12/21,3568.58,3651.06,3565.75,3642.47,299849280,3602.5671428571,-1
 2015/12/22,3645.99,3652.63,3616.87,3651.77,261178768,3618.5271428571,-1
 2015/12/23,3653.28,3684.57,3633.03,3636.09,298201792,3611.9242857143,-1
 2015/12/24,3631.31,3640.22,3572.28,3612.49,227785232,3609.75,-1
 2015/12/25,3614.05,3635.26,3601.74,3627.91,198451104,3599.8085714286,-1
 2015/12/28,3635.77,3641.59,3533.78,3533.78,269983264,3583.7242857143,-1
 2015/12/29,3528.4,3564.17,3515.52,3563.74,182551920,3535.1771428571,-1
 2015/12/30,3566.73,3573.68,3538.11,3572.88,187889616,3488.78,-1
 2015/12/31,3570.47,3580.6,3538.35,3539.18,176963664,3450.77,-1
 2016/01/04,3536.59,3538.69,3295.74,3296.26,184418416,3392.3728571429,-1
 2016/01/05,3196.65,3328.14,3189.6,3287.71,266882080,3338.4685714286,-1
 2016/01/06,3291.19,3362.97,3288.93,3361.84,238886672,3259.0142857143,-1
 2016/01/07,3309.66,3309.66,3115.89,3125,70569120,3185.2542857143,-1
 2016/01/08,3194.63,3235.45,3056.88,3186.41,286440832,3135.7314285714,-1
 2016/01/11,3131.85,3166.22,3016.7,3016.7,271643680,3095.7228571429,-1
 2016/01/12,3026.16,3047.66,2978.46,3022.86,207659616,3029.8842857143,-1
 2016/01/13,3041.11,3059.01,2949.29,2949.6,194282112,2999.7185714286,-1
 2016/01/14,2874.05,3012.29,2867.55,3007.65,212905648,2974.1942857143,-1
 2016/01/15,2988.05,3001.71,2883.87,2900.97,198721696,2968.4785714286,-1
 2016/01/18,2847.54,2945.45,2844.7,2913.84,164699696,2948.1385714286,-1
 2016/01/19,2914.41,3012.07,2906.4,3007.74,205279696,2943.4185714286,-1
 2016/01/20,2993.01,3016.28,2951.92,2976.69,216505472,2933.5414285714,-1
 2016/01/21,2934.39,2998.79,2880.08,2880.48,191675664,2911.9442857143,-1
 2016/01/22,2911.11,2931.36,2851.73,2916.56,159810736,2886.4757142857,-1
 2016/01/25,2934.08,2955.78,2911.83,2938.51,153039056,2836.1785714286,-1
 2016/01/26,2907.72,2911.99,2743.84,2749.79,210836048,2802.0228571429,-1
 2016/01/27,2756.08,2768.77,2638.3,2735.56,215722048,2774.6471428571,-1
 2016/01/28,2711.16,2740.54,2647.49,2655.66,171120288,2750.7914285714,1
 2016/01/29,2652.85,2755.37,2649.79,2737.6,186673104,2722.3257142857,1
 2016/02/01,2730.98,2735.26,2655.62,2688.85,156383744,2726.7871428571,1
 2016/02/02,2687.98,2755.16,2687.98,2749.57,158078208,2730.7771428571,1
 2016/02/03,2719.57,2746.07,2696.88,2739.25,148397216,2743.7114285714,1
